Name,CR,HP,AC,STR,DEX,CON,INT,WIS,CHA,avg_attack_1,avg_attack_2,max_attack_1,max_attack_2,spellcasting,Size
0,Cranium Rat,0,2,12,2,14,10,4,11,8,0,0,1,0,0,0
1,Crawling Claw,0,2,12,13,14,11,5,10,4,3.5,0,5,0,0,0
2,Homunculus,0,5,13,4,15,11,10,10,7,0,0,1,0,0,0
3,Myconid Sprout,0,7,10,8,10,10,8,11,5,4,0,7,0,0,1
4,Boggle,0.13,18,14,8,18,13,6,12,7,2.5,0,5,0,0,1
5,Flumph,0.13,7,12,6,15,10,14,14,11,7,0,10,0,0,1
6,Kobold,0.13,5,12,7,15,9,8,7,8,4.5,4.5,6,6,0,1
7,Merfolk,0.13,11,11,10,13,12,11,11,12,4.5,0,8,0,0,2
8,Neogi Hatchling,0.13,7,11,3,13,10,6,10,9,3.5,0,5,0,0,0
9,Slaad Tadpole,0.13,10,12,7,15,10,3,5,3,4.5,0,6,0,0,0
10,Stirge,0.13,2,14,4,16,11,2,8,6,5.5,0,7,0,0,0
11,Xvart,0.13,7,13,8,14,10,8,7,7,5.5,4.5,8,6,0,1
12,Aarakocra,0.25,13,12,10,14,10,11,12,11,4.5,5.5,6,8,0,2
13,Bullywug,0.25,11,15,12,12,13,7,10,7,3.5,5.5,5,9,0,2
14,Drow,0.25,13,15,10,14,10,11,11,12,5.5,5.5,8,8,0,2
15,Gnoll Witherling,0.25,11,12,14,8,12,5,5,5,4.5,4.5,6,6,0,2
16,Goblin,0.25,7,15,8,14,10,10,8,8,5.5,5.5,8,8,0,1
17,Grimlock,0.25,11,11,16,12,12,9,8,6,8,0,11,0,0,2
18,Grung,0.25,11,12,7,14,15,10,11,10,4.5,0,6,0,0,1
19,Kenku,0.25,13,13,10,16,10,11,10,10,6.5,6.5,9,9,0,2
20,Kobold Inventor,0.25,13,12,7,15,12,8,7,8,4.5,4.5,6,6,0,1
21,Kuo-Toa,0.25,13,13,13,10,11,11,10,8,3.5,5.5,5,9,0,2
22,Pixie,0.25,1,15,2,20,8,10,14,15,0,0,0,0,1,0
23,Pseudodragon,0.25,7,13,6,15,13,10,12,10,4.5,4.5,6,6,0,0
24,Skeleton,0.25,13,13,10,14,15,6,8,5,5.5,5.5,8,8,0,2
25,Sprite,0.25,2,15,3,18,10,14,13,11,0,0,1,0,0,0
26,Troglodyte,0.25,13,11,14,10,14,6,10,6,4.5,4.5,6,6,0,2
27,Vegepygmy,0.25,9,13,7,14,13,6,11,7,5.5,4.5,8,6,0,1
28,Zombie,0.25,22,8,13,6,16,3,6,5,4.5,0,7,0,0,2
29,Chitine,0.5,18,14,10,14,12,10,10,7,4.5,0,6,0,0,1
30,Cockatrice,0.5,27,11,6,12,12,2,13,5,3.5,0,5,0,0,1
31,Darkling,0.5,13,14,9,16,12,10,12,10,5.5,0,7,0,0,1
32,Darkmantle,0.5,22,11,16,12,13,2,10,5,6.5,0,9,0,0,1
33,Firenewt Warrior,0.5,22,16,10,13,12,7,11,8,4.5,9,7,16,0,2
34,Gnoll,0.5,22,15,14,12,11,6,10,7,4.5,6.5,6,10,0,2
35,Gnoll Hunter,0.5,22,13,14,14,12,8,12,8,4.5,6.5,6,10,0,2
36,"Gnome, Deep (Svirfneblin)",0.5,16,15,15,14,14,12,10,9,7.5,0,11,0,1,1
37,Hobgoblin,0.5,11,18,13,12,12,10,10,9,6.5,5.5,11,9,0,2
38,Jackalwere,0.5,18,12,11,15,11,13,11,10,4.5,5.5,6,8,0,2
39,Lizardfolk,0.5,22,15,15,10,13,7,12,7,5.5,5.5,8,8,0,2
40,Magmin,0.5,9,14,7,15,12,8,11,10,7,0,12,0,0,1
41,Myconid Adult,0.5,22,12,10,10,12,10,13,7,10,0,16,0,0,2
42,Orc,0.5,15,13,16,12,16,7,11,10,9.5,6.5,15,9,0,2
43,Orc Nurtured One of Yurtrus,0.5,30,9,15,8,16,7,11,7,4.5,0,6,0,0,2
44,Piercer,0.5,22,15,10,13,16,1,7,3,0,0,0,0,0,2
45,Rust Monster,0.5,27,14,13,12,13,2,13,6,5.5,0,9,0,0,2
46,Sahuagin,0.5,22,12,13,11,12,12,13,9,3.5,3.5,5,5,0,2
47,Satyr,0.5,31,14,12,16,11,12,10,14,6,6.5,9,9,0,2
48,Shadow,0.5,16,12,6,14,13,6,10,8,9,0,14,0,0,2
49,Bugbear,1,27,16,15,14,13,8,11,9,11,9,18,14,0,2
50,Dryad,1,22,11,1,12,11,14,15,18,8.5,0,12,0,1,2
51,Duergar,1,26,16,14,11,14,11,10,9,6.5,5.5,10,8,0,2
52,Faerie Dragon,1,14,15,3,20,13,14,12,16,0,0,1,0,1,0
53,Firenewt Warlock of Imix,1,33,10,13,11,12,9,11,14,5.5,0,9,0,1,2
54,Ghoul,1,22,12,13,15,10,7,10,6,9,7,14,10,0,2
